transaction_id,date,product_id,status,payment_method,amount,discount,number_of_items,risk_score,delivery_fee,customer_id,platform
0029e1f5-b648-4787-b13f-563af8dbe7ff,2019-04-16,b3xjvqj,approved,PayPal,152,0.017005261546893163,6,0.1582092864276342,14,02cf65ec-1ef0-40a6-b44f-36e4c8b644b4,web
002a2614-807c-47e4-b1c4-a1198a38e058,2018-01-27,3tkc284,declined,Visa,43,0.017763185774012376,1,0.730812803683491,10,02dd9254-23b6-4b32-b53a-17fdfdd8538e,web
002ae1a3-2aa0-4c54-8cd5-061e2ea126e4,2019-09-28,d7fhbn2,approved,MasterCard,600,0.04194369284943143,3,0.4776380484991445,3,02df87d6-d1cd-494d-a823-97119ec9fece,mobile
002c1879-5910-46e8-b26b-ae1ae101d035,2018-09-12,YZCTBC4JWQNE627OCIAQRPABAM,approved,Visa,325,0.009637433850003197,7,0.6942332773169644,2,02e09992-334b-468f-8be8-924831e7164c,web
002c40de-f032-4e10-b5bd-5ee54918cccc,2019-04-14,jj6dcfdg,approved,PayPal,17,0.019171803449324558,6,0.03975967109645584,1,02eb0fde-b132-447e-9493-6a0d66aacc55,web
002d0a5c-0c06-4ba7-9e7e-750157854e9b,2019-02-06,hteg9fnr,approved,PayPal,462,0.023255632862920057,6,0.7831412825576558,15,02f21e60-18c1-4e86-9c60-8b8cda7dcc5a,web
002d71fd-f0e9-4c04-8e25-2eab403231b6,2019-02-12,b76yq78,approved,PayPal,314,0.04184283532483648,5,0.17087431366971073,20,02f596d4-94cf-4d16-a039-f9a1cc715b8d,mobile
002d75df-f207-4218-be5f-e97359c6d7c1,2018-06-17,WJ7DHOEK4WMLFW7OXIJRGYABRY,approved,PayPal,387,0.0031216821479419787,10,0.01415169197888777,15,02f7d55a-957a-43dd-90bf-78f7220a2d86,mobile
002da95c-f9e2-4612-a53b-ee12b68a97bf,2019-05-27,7BNHPLRSJPBWTGTLMDJWA6HQXA,declined,CreditCard,176,0.036733577916332444,10,0.2854764740589396,16,02fda739-e734-40d6-842c-d3cbe588eb23,mobile
002ebafd-08da-4002-95cd-08e98aa8e61a,2018-09-24,d72d9gd,approved,Visa,524,0.045328507814592696,7,0.6619729924345861,3,02fdcd8f-e1a9-43d9-b7c2-142c78fc7e90,mobile
002fc5fc-5e5f-4fe6-8191-44155586ee64,2018-08-31,VECOP7OEMFZEZJS3NX5FLTXLM4,approved,PayPal,540,0.03635500473176784,9,0.38792351243983914,20,02ffb826-75ab-4a8f-b350-478167347a4b,web
002fe359-4972-4f38-8a5f-559c079f5bac,2019-03-18,mzdqay78,approved,MasterCard,899,0.011437053291056504,3,0.20726843187413668,9,0300a275-5844-40e1-b33d-e324b9bd23cf,web
0030cddd-ec32-4ed2-949a-9d0c72150f9f,2019-05-14,6VOA6SDH5LR27HCFRGU4P7T3DQ,approved,Visa,292,0.024132288979629102,3,0.2156547461164141,13,0300e554-af2b-4e92-8e22-cdbf1daed028,mobile
0031bc5c-a945-4023-9b4c-b09dd9cbd138,2018-04-08,7k34qfw,declined,MasterCard,110,0.020343258886596084,1,0.15958554537646108,6,03010d47-62c6-43b9-852b-d753097c8813,web
